epoch,total,ic,bc,pde,lambda_ic,lambda_bc,lambda_pde,stage
0,0.14764027297496796,0.13728666305541992,0.008799051865935326,0.0003109138342551887,1.0,1.0,5.0,0
1,0.4381200671195984,0.13555575907230377,0.19921639561653137,0.02066957950592041,1.0,1.0,5.0,0
2,0.34436744451522827,0.11863281577825546,0.06414598226547241,0.03231773152947426,1.0,1.0,5.0,0
3,0.1769685298204422,0.11827497184276581,0.015297227539122105,0.008679264225065708,1.0,1.0,5.0,0
4,0.18268130719661713,0.12514811754226685,0.044784463942050934,0.0025497470051050186,1.0,1.0,5.0,0
5,0.25801318883895874,0.1367768943309784,0.07674386352300644,0.008898482657968998,1.0,1.0,5.0,0
6,0.2106485664844513,0.13915622234344482,0.04520340636372566,0.005257789511233568,1.0,1.0,5.0,0
7,0.1743713915348053,0.141670361161232,0.02311689965426922,0.001916825189255178,1.0,1.0,5.0,0
8,0.18435978889465332,0.14453306794166565,0.023701820522546768,0.0032249793875962496,1.0,1.0,5.0,0
9,0.17635998129844666,0.14215750992298126,0.01789400540292263,0.00326169584877789,1.0,1.0,5.0,0
10,0.14675508439540863,0.13579991459846497,0.005223575513809919,0.0011463186237961054,1.0,1.0,5.0,0
11,0.1339235156774521,0.12989714741706848,0.002323049120604992,0.000340664031682536,1.0,1.0,5.0,0
12,0.14583052694797516,0.12587104737758636,0.01083618775010109,0.0018246584804728627,1.0,1.0,5.0,0
13,0.15827736258506775,0.12221973389387131,0.017521750181913376,0.003707175375893712,1.0,1.0,5.0,0
14,0.1562069207429886,0.11815734952688217,0.01465860940515995,0.0046781920827925205,1.0,1.0,5.0,0
15,0.14785116910934448,0.11489805579185486,0.007310222834348679,0.005128577817231417,1.0,1.0,5.0,0
16,0.14463189244270325,0.11380015313625336,0.0028623039834201336,0.005593887995928526,1.0,1.0,5.0,0
17,0.14609934389591217,0.11493723094463348,0.0026084990240633488,0.005710722412914038,1.0,1.0,5.0,0
18,0.1450447291135788,0.11747423559427261,0.0033021592535078526,0.004853666760027409,1.0,1.0,5.0,0
19,0.13884317874908447,0.12066267430782318,0.0025793060194700956,0.003120238659903407,1.0,1.0,5.0,0
20,0.13189667463302612,0.12415318936109543,0.0010292769875377417,0.0013428421225398779,1.0,1.0,5.0,0
21,0.1295425444841385,0.12760543823242188,0.0003369429614394903,0.0003200327919330448,1.0,1.0,5.0,0
22,0.13221006095409393,0.1303514838218689,0.001015044515952468,0.00016870838589966297,1.0,1.0,5.0,0
23,0.13567852973937988,0.13161993026733398,0.00217187381349504,0.0003773437347263098,1.0,1.0,5.0,0
24,0.13616202771663666,0.13110382854938507,0.0029654293321073055,0.0004185521975159645,1.0,1.0,5.0,0
25,0.13400906324386597,0.12922793626785278,0.003642863128334284,0.00022765528410673141,1.0,1.0,5.0,0
26,0.13220003247261047,0.1268601268529892,0.004899735562503338,8.803206583252177e-05,1.0,1.0,5.0,0
27,0.13240109384059906,0.12480011582374573,0.006603975780308247,0.0001994015765376389,1.0,1.0,5.0,0
28,0.13341118395328522,0.12346874177455902,0.007612509652972221,0.0004659864353016019,1.0,1.0,5.0,0
29,0.13306285440921783,0.12292890250682831,0.006898469757288694,0.0006470992811955512,1.0,1.0,5.0,0
30,0.13077260553836823,0.1230626031756401,0.004649355076253414,0.0006121306214481592,1.0,1.0,5.0,0
31,0.12803226709365845,0.12366649508476257,0.002170470543205738,0.0004390593385323882,1.0,1.0,5.0,0
32,0.12672080099582672,0.12442149966955185,0.0007799195591360331,0.00030387582955881953,1.0,1.0,5.0,0
33,0.12717989087104797,0.1248837262392044,0.0007852457347325981,0.000302182394079864,1.0,1.0,5.0,0
34,0.12805967032909393,0.12462548911571503,0.0014431052841246128,0.0003982143825851381,1.0,1.0,5.0,0
35,0.12794546782970428,0.12346664071083069,0.00183475436642766,0.0005288162501528859,1.0,1.0,5.0,0
