epoch,total,ic,bc,pde,lambda_ic,lambda_bc,lambda_pde,stage
0,1.3923439979553223,0.6701688766479492,0.14878366887569427,0.11467830091714859,1.0,1.0,5.0,0
1,0.6173078417778015,0.5466871857643127,0.008060667663812637,0.012511991895735264,1.0,1.0,5.0,0
2,0.4852505326271057,0.44279706478118896,0.03390827029943466,0.0017090393230319023,1.0,1.0,5.0,0
3,0.5912381410598755,0.3607143759727478,0.1507447510957718,0.015955807641148567,1.0,1.0,5.0,0
4,0.7044166326522827,0.3175092041492462,0.25014442205429077,0.02735259011387825,1.0,1.0,5.0,0
5,0.7044146060943604,0.31177031993865967,0.25653618574142456,0.02722162753343582,1.0,1.0,5.0,0
6,0.625237762928009,0.3278314471244812,0.20084136724472046,0.019312990829348564,1.0,1.0,5.0,0
7,0.5381657481193542,0.3553493320941925,0.13060763478279114,0.01044175773859024,1.0,1.0,5.0,0
8,0.47990596294403076,0.386922687292099,0.07307729125022888,0.0039811995811760426,1.0,1.0,5.0,0
9,0.45683610439300537,0.4169166386127472,0.03625920042395592,0.0007320536533370614,1.0,1.0,5.0,0
10,0.4613626301288605,0.44174814224243164,0.017507940530776978,0.00042131118243560195,1.0,1.0,5.0,0
11,0.481078177690506,0.45975860953330994,0.010687565430998802,0.0021264012902975082,1.0,1.0,5.0,0
12,0.5031666159629822,0.47074490785598755,0.00991745013743639,0.0045008533634245396,1.0,1.0,5.0,0
13,0.5178780555725098,0.47544538974761963,0.011056896299123764,0.006275151390582323,1.0,1.0,5.0,0
14,0.5208709836006165,0.4750288128852844,0.012029647827148438,0.00676250783726573,1.0,1.0,5.0,0
15,0.5131028890609741,0.4707126021385193,0.0124482661485672,0.0059884050861001015,1.0,1.0,5.0,0
16,0.4987345039844513,0.4635661244392395,0.01291996892541647,0.004449682310223579,1.0,1.0,5.0,0
17,0.4826468229293823,0.4544503390789032,0.014383516274392605,0.0027625898364931345,1.0,1.0,5.0,0
18,0.4687165915966034,0.4440394639968872,0.017652643844485283,0.0014049019664525986,1.0,1.0,5.0,0
19,0.4591262936592102,0.43289220333099365,0.023173058405518532,0.0006122037302702665,1.0,1.0,5.0,0
20,0.4544467031955719,0.4215407073497772,0.03092220053076744,0.00039676090818829834,1.0,1.0,5.0,0
21,0.45408397912979126,0.41055941581726074,0.04038560763001442,0.0006277905777096748,1.0,1.0,5.0,0
