epoch,total,ic,bc,pde,lambda_ic,lambda_bc,lambda_pde,stage
0,0.6338552832603455,0.6058942079544067,0.02560443989932537,0.000471328676212579,1.0,1.0,5.0,0
1,0.5280835032463074,0.4225929379463196,0.10087950527667999,0.0009222200606018305,1.0,1.0,5.0,0
2,0.5907686352729797,0.36990389227867126,0.20679517090320587,0.002813915954902768,1.0,1.0,5.0,0
3,0.5720351338386536,0.37206578254699707,0.1917596459388733,0.001641935552470386,1.0,1.0,5.0,0
4,0.5315506458282471,0.4139734208583832,0.11354726552963257,0.0008059932733885944,1.0,1.0,5.0,0
5,0.5200093984603882,0.4636691212654114,0.05535287782549858,0.0001974846818484366,1.0,1.0,5.0,0
6,0.5339614152908325,0.5019602179527283,0.030918695032596588,0.00021649048721883446,1.0,1.0,5.0,0
7,0.5440250039100647,0.5202305316925049,0.022361036390066147,0.00028668687446042895,1.0,1.0,5.0,0
8,0.5373871922492981,0.5151587128639221,0.021803833544254303,8.492534834658727e-05,1.0,1.0,5.0,0
9,0.5227608680725098,0.49030646681785583,0.031674884259700775,0.000155905814608559,1.0,1.0,5.0,0
10,0.5147086977958679,0.4573449194431305,0.05411478132009506,0.0006498023867607117,1.0,1.0,5.0,0
11,0.51680588722229,0.4303431510925293,0.08220825344324112,0.0008508898899890482,1.0,1.0,5.0,0
12,0.5220349431037903,0.4153599441051483,0.10318515449762344,0.000697969226166606,1.0,1.0,5.0,0
13,0.5252009034156799,0.40994134545326233,0.1104569286108017,0.0009605323430150747,1.0,1.0,5.0,0
14,0.5200848579406738,0.41049566864967346,0.10515987128019333,0.0008858719374984503,1.0,1.0,5.0,0
15,0.5130714774131775,0.41809797286987305,0.0908287912607193,0.0008289508987218142,1.0,1.0,5.0,0
16,0.5081300735473633,0.4333432614803314,0.07132631540298462,0.0006920997402630746,1.0,1.0,5.0,0
17,0.5075307488441467,0.45241695642471313,0.05260489881038666,0.0005017759394831955,1.0,1.0,5.0,0
18,0.5105364322662354,0.46726343035697937,0.04085864499211311,0.0004828707315027714,1.0,1.0,5.0,0
19,0.5118229389190674,0.47226569056510925,0.036879777908325195,0.0005354848108254373,1.0,1.0,5.0,0
20,0.5100722908973694,0.46805816888809204,0.03799508139491081,0.0008037990774028003,1.0,1.0,5.0,0
21,0.5050008893013,0.4592893123626709,0.04152587056159973,0.0008371436852030456,1.0,1.0,5.0,0
22,0.500578761100769,0.4471442401409149,0.04896468296647072,0.0008939630351960659,1.0,1.0,5.0,0
23,0.4990317225456238,0.4323580861091614,0.06077732890844345,0.0011792609002441168,1.0,1.0,5.0,0
24,0.49924203753471375,0.4184496998786926,0.07330413907766342,0.0014976359670981765,1.0,1.0,5.0,0
25,0.5000630021095276,0.4111551344394684,0.08000164479017258,0.0017812419682741165,1.0,1.0,5.0,0
26,0.4987524747848511,0.41124364733695984,0.07829047739505768,0.0018436689861118793,1.0,1.0,5.0,0
27,0.4945681691169739,0.41415977478027344,0.07131735980510712,0.0018182041822001338,1.0,1.0,5.0,0
28,0.4901600778102875,0.4192032516002655,0.061743997037410736,0.0018425630405545235,1.0,1.0,5.0,0
29,0.48802629113197327,0.4269329607486725,0.051605381071567535,0.0018975913990288973,1.0,1.0,5.0,0
30,0.48660701513290405,0.43414685130119324,0.043827105313539505,0.001726607559248805,1.0,1.0,5.0,0
31,0.4848572909832001,0.4357376992702484,0.04081535339355469,0.0016608494333922863,1.0,1.0,5.0,0
32,0.481469064950943,0.4297826886177063,0.04287011921405792,0.001763255218975246,1.0,1.0,5.0,0
33,0.47619596123695374,0.41843605041503906,0.04890771582722664,0.0017704395577311516,1.0,1.0,5.0,0
34,0.4713671803474426,0.40733814239501953,0.05549878254532814,0.001706050243228674,1.0,1.0,5.0,0
35,0.4673163592815399,0.3958677351474762,0.06270778179168701,0.0017481682589277625,1.0,1.0,5.0,0
36,0.46284565329551697,0.3852190673351288,0.0684032142162323,0.001844674116000533,1.0,1.0,5.0,0
37,0.45685458183288574,0.38046795129776,0.06711281090974808,0.0018547632498666644,1.0,1.0,5.0,0
38,0.4495432674884796,0.38274988532066345,0.05825942009687424,0.0017067905282601714,1.0,1.0,5.0,0
39,0.44232478737831116,0.38505032658576965,0.04937489330768585,0.0015799110988155007,1.0,1.0,5.0,0
40,0.4358755052089691,0.38242945075035095,0.04486490786075592,0.0017162237782031298,1.0,1.0,5.0,0
41,0.42835181951522827,0.37727147340774536,0.04233763366937637,0.0017485445132479072,1.0,1.0,5.0,0
42,0.4182858467102051,0.36641332507133484,0.043451014906167984,0.0016843033954501152,1.0,1.0,5.0,0
43,0.4078740179538727,0.3459772765636444,0.05186949670314789,0.00200545322149992,1.0,1.0,5.0,0
44,0.39794349670410156,0.32806363701820374,0.0585084930062294,0.0022742769215255976,1.0,1.0,5.0,0
45,0.3864230215549469,0.3192911148071289,0.05575643479824066,0.0022750936914235353,1.0,1.0,5.0,0
46,0.3735586404800415,0.3107684552669525,0.0523061640560627,0.0020968031603842974,1.0,1.0,5.0,0
47,0.3619968891143799,0.30343469977378845,0.04759084805846214,0.002194268861785531,1.0,1.0,5.0,0
48,0.34859931468963623,0.2976821959018707,0.04083097726106644,0.00201723026111722,1.0,1.0,5.0,0
49,0.333926796913147,0.27558526396751404,0.04735696315765381,0.0021969142835587263,1.0,1.0,5.0,0
50,0.3218555748462677,0.2501814365386963,0.05858270078897476,0.0026182879228144884,1.0,1.0,5.0,0
51,0.30761781334877014,0.24402622878551483,0.05107830464839935,0.0025026542134582996,1.0,1.0,5.0,0
52,0.29170292615890503,0.2356015294790268,0.04561104625463486,0.00209807395003736,1.0,1.0,5.0,0
