epoch,total,ic,bc,pde,lambda_ic,lambda_bc,lambda_pde,stage
0,0.5955809950828552,0.29681238532066345,0.2930361032485962,0.0011464966228231788,1.0,1.0,5.0,0
1,0.5261280536651611,0.34109267592430115,0.18380320072174072,0.000246424664510414,1.0,1.0,5.0,0
2,0.49729353189468384,0.39177197217941284,0.10509791970252991,8.473006164422259e-05,1.0,1.0,5.0,0
3,0.500076174736023,0.43801364302635193,0.06147253140807152,0.00011800225911429152,1.0,1.0,5.0,0
4,0.5134094953536987,0.46640118956565857,0.04554002359509468,0.0002936587552540004,1.0,1.0,5.0,0
5,0.5192988514900208,0.4742398262023926,0.043159157037734985,0.00037998362677171826,1.0,1.0,5.0,0
6,0.5145699977874756,0.46644192934036255,0.046643778681755066,0.0002968504559248686,1.0,1.0,5.0,0
7,0.5040938854217529,0.4487445056438446,0.05447567254304886,0.00017473576008342206,1.0,1.0,5.0,0
8,0.4935252070426941,0.42585325241088867,0.06712517887353897,0.00010935468162642792,1.0,1.0,5.0,0
9,0.4868393540382385,0.4015548825263977,0.08452793955802917,0.00015130455722101033,1.0,1.0,5.0,0
10,0.4850102663040161,0.37909671664237976,0.10475783795118332,0.0002311401767656207,1.0,1.0,5.0,0
11,0.48670825362205505,0.36119017004966736,0.12383615970611572,0.000336387223796919,1.0,1.0,5.0,0
12,0.4891125559806824,0.3493599593639374,0.13751469552516937,0.0004475823952816427,1.0,1.0,5.0,0
13,0.4897426664829254,0.3437929153442383,0.14331309497356415,0.0005273272981867194,1.0,1.0,5.0,0
14,0.4874636232852936,0.3438241481781006,0.14108064770698547,0.0005117670516483486,1.0,1.0,5.0,0
15,0.48299357295036316,0.34858986735343933,0.1321536898612976,0.0004500008071772754,1.0,1.0,5.0,0
16,0.4777919054031372,0.35697051882743835,0.11891549825668335,0.0003811796777881682,1.0,1.0,5.0,0
17,0.4733788073062897,0.36770740151405334,0.10394756495952606,0.0003447689232416451,1.0,1.0,5.0,0
18,0.47060737013816833,0.37939175963401794,0.08951140195131302,0.00034084118669852614,1.0,1.0,5.0,0
19,0.4695966839790344,0.39042240381240845,0.07730528712272644,0.00037379920831881464,1.0,1.0,5.0,0
20,0.4694761633872986,0.39904358983039856,0.06840830296278,0.00040485343197360635,1.0,1.0,5.0,0
