epoch,total,ic,bc,pde,lambda_ic,lambda_bc,lambda_pde,stage
0,0.7904040813446045,0.7014151215553284,0.08840718865394592,0.00011635004921117797,1.0,1.0,5.0,0
1,0.5325934886932373,0.42069587111473083,0.09405932575464249,0.003567656734958291,1.0,1.0,5.0,0
2,0.4949239492416382,0.36434370279312134,0.11467491090297699,0.003181062638759613,1.0,1.0,5.0,0
3,0.5193829536437988,0.42136430740356445,0.09199913591146469,0.0012039064895361662,1.0,1.0,5.0,0
4,0.5553064346313477,0.47441601753234863,0.07497730851173401,0.0011826278641819954,1.0,1.0,5.0,0
5,0.5339086651802063,0.4687206745147705,0.060001190751791,0.0010373590048402548,1.0,1.0,5.0,0
6,0.4896343946456909,0.43247777223587036,0.05346820503473282,0.0007376869325526059,1.0,1.0,5.0,0
7,0.46333256363868713,0.3982198238372803,0.06072945147752762,0.0008766604005359113,1.0,1.0,5.0,0
8,0.45850086212158203,0.3833709955215454,0.06952518224716187,0.0011209354270249605,1.0,1.0,5.0,0
9,0.4617200791835785,0.38967251777648926,0.06724757701158524,0.0009599961340427399,1.0,1.0,5.0,0
10,0.4673473834991455,0.40924882888793945,0.05549527332186699,0.0005206583300605416,1.0,1.0,5.0,0
11,0.47501498460769653,0.43125128746032715,0.042809803038835526,0.00019077546312473714,1.0,1.0,5.0,0
12,0.48050302267074585,0.4458479881286621,0.03426739573478699,7.752967212582007e-05,1.0,1.0,5.0,0
13,0.4783976972103119,0.44779303669929504,0.030378101393580437,4.531076774583198e-05,1.0,1.0,5.0,0
14,0.4692940413951874,0.43803107738494873,0.031130334362387657,2.6522391635808162e-05,1.0,1.0,5.0,0
15,0.4591411054134369,0.421857088804245,0.03685571625828743,8.565705502405763e-05,1.0,1.0,5.0,0
16,0.4528661072254181,0.4058569371700287,0.04576221853494644,0.00024939299328252673,1.0,1.0,5.0,0
17,0.45073363184928894,0.39540407061576843,0.053276315331459045,0.00041064509423449636,1.0,1.0,5.0,0
18,0.4505179524421692,0.3930903673171997,0.0552394799888134,0.0004376215219963342,1.0,1.0,5.0,0
19,0.4512636959552765,0.39828526973724365,0.051347918808460236,0.00032610524795018137,1.0,1.0,5.0,0
20,0.4534185826778412,0.40769892930984497,0.04479440301656723,0.00018504670879337937,1.0,1.0,5.0,0
21,0.4563628137111664,0.4166470468044281,0.03920644894242287,0.00010186704457737505,1.0,1.0,5.0,0
22,0.45787513256073,0.4209941029548645,0.03649282827973366,7.763836038066074e-05,1.0,1.0,5.0,0
23,0.45650696754455566,0.41909557580947876,0.036980997771024704,8.608045027358457e-05,1.0,1.0,5.0,0
24,0.4532319903373718,0.41235774755477905,0.04021052271127701,0.00013274274533614516,1.0,1.0,5.0,0
25,0.4501187205314636,0.40414994955062866,0.0448429211974144,0.00022516664466820657,1.0,1.0,5.0,0
26,0.44814860820770264,0.3980465829372406,0.048495806753635406,0.0003212474985048175,1.0,1.0,5.0,0
27,0.4469268023967743,0.39634373784065247,0.04882918298244476,0.0003507811634335667,1.0,1.0,5.0,0
28,0.44605645537376404,0.39935317635536194,0.04525488615036011,0.00028968026163056493,1.0,1.0,5.0,0
29,0.4458385109901428,0.4055381715297699,0.03937556594610214,0.00018495302356313914,1.0,1.0,5.0,0
30,0.4464642107486725,0.4122294783592224,0.033729031682014465,0.0001011436979752034,1.0,1.0,5.0,0
31,0.44725459814071655,0.4166742265224457,0.03025910258293152,6.425561150535941e-05,1.0,1.0,5.0,0
32,0.44721904397010803,0.4171481132507324,0.029741007834672928,6.598000618396327e-05,1.0,1.0,5.0,0
33,0.4461277723312378,0.41364264488220215,0.0319807305932045,0.00010088149429066107,1.0,1.0,5.0,0
34,0.44459834694862366,0.40775054693222046,0.035981059074401855,0.00017334955919068307,1.0,1.0,5.0,0
35,0.4432179927825928,0.40186163783073425,0.040009595453739166,0.0002693542919587344,1.0,1.0,5.0,0
36,0.442027747631073,0.3980967700481415,0.04219861328601837,0.0003464723995421082,1.0,1.0,5.0,0
37,0.4409501850605011,0.397419810295105,0.041683971881866455,0.0003692811296787113,1.0,1.0,5.0,0
