epoch,total,ic,bc,pde,lambda_ic,lambda_bc,lambda_pde,stage
0,0.19630572199821472,0.14263305068016052,0.04959707334637642,0.0008151201182045043,1.0,1.0,5.0,0
1,0.5349003076553345,0.16517655551433563,0.2473761886358261,0.024469519034028053,1.0,1.0,5.0,0
2,0.4085647165775299,0.13372081518173218,0.16926755011081696,0.021115271374583244,1.0,1.0,5.0,0
3,0.2713248133659363,0.12688276171684265,0.06051534414291382,0.01678534410893917,1.0,1.0,5.0,0
4,0.1513933390378952,0.12531420588493347,0.01902993954718113,0.001409838325344026,1.0,1.0,5.0,0
5,0.19636215269565582,0.12325488775968552,0.027788406237959862,0.009063771925866604,1.0,1.0,5.0,0
6,0.26968199014663696,0.12338101863861084,0.045704007148742676,0.02011939138174057,1.0,1.0,5.0,0
7,0.24604171514511108,0.1262071579694748,0.044547323137521744,0.015057449229061604,1.0,1.0,5.0,0
8,0.18733249604701996,0.13011384010314941,0.031738393008708954,0.0050960504449903965,1.0,1.0,5.0,0
9,0.15470989048480988,0.1331615000963211,0.01859445311129093,0.0005907868035137653,1.0,1.0,5.0,0
10,0.1483144611120224,0.1341644525527954,0.009706355631351471,0.0008887321455404162,1.0,1.0,5.0,0
11,0.14935825765132904,0.1334349513053894,0.0067581492476165295,0.0018330301390960813,1.0,1.0,5.0,0
12,0.15072016417980194,0.1321433037519455,0.010259164497256279,0.001663538278080523,1.0,1.0,5.0,0
13,0.15458077192306519,0.13112181425094604,0.01836591586470604,0.0010186078725382686,1.0,1.0,5.0,0
14,0.16112463176250458,0.13040603697299957,0.02659599669277668,0.0008245205390267074,1.0,1.0,5.0,0
15,0.16544368863105774,0.12960286438465118,0.03013192117214203,0.0011417798232287169,1.0,1.0,5.0,0
16,0.16277185082435608,0.1285182237625122,0.027111006900668144,0.0014285241486504674,1.0,1.0,5.0,0
17,0.15353041887283325,0.12740683555603027,0.01958909071981907,0.001306898077018559,1.0,1.0,5.0,0
18,0.14269600808620453,0.1267309933900833,0.011544989421963692,0.0008840047521516681,1.0,1.0,5.0,0
19,0.13546684384346008,0.1267731487751007,0.0062060109339654446,0.0004975392948836088,1.0,1.0,5.0,0
20,0.1337108612060547,0.12742742896080017,0.004599927458912134,0.00033670171978883445,1.0,1.0,5.0,0
21,0.135621577501297,0.1282683163881302,0.005692726466804743,0.00033210933906957507,1.0,1.0,5.0,0
22,0.138042613863945,0.12880729138851166,0.007538452744483948,0.00033937260741367936,1.0,1.0,5.0,0
23,0.13908860087394714,0.128754124045372,0.008564503863453865,0.00035399378975853324,1.0,1.0,5.0,0
24,0.1389518827199936,0.12812349200248718,0.008237505331635475,0.0005181751330383122,1.0,1.0,5.0,0
25,0.13877123594284058,0.12716111540794373,0.006912724114954472,0.0009394788648933172,1.0,1.0,5.0,0
26,0.1390969455242157,0.12618575990200043,0.0052671609446406364,0.0015288047725334764,1.0,1.0,5.0,0
27,0.13939312100410461,0.12545298039913177,0.003831573063507676,0.0020217127166688442,1.0,1.0,5.0,0
28,0.13876760005950928,0.12509241700172424,0.0028480389155447483,0.002165428129956126,1.0,1.0,5.0,0
29,0.13697512447834015,0.12511375546455383,0.002361259888857603,0.0019000231986865401,1.0,1.0,5.0,0
30,0.13468441367149353,0.1254454255104065,0.002336852950975299,0.0013804257614538074,1.0,1.0,5.0,0
31,0.1329108327627182,0.12597128748893738,0.0026971937622874975,0.000848469149786979,1.0,1.0,5.0,0
32,0.1322624385356903,0.12655599415302277,0.0033067886251956224,0.0004799318267032504,1.0,1.0,5.0,0
33,0.13261106610298157,0.12706860899925232,0.003980622626841068,0.0003123671922367066,1.0,1.0,5.0,0
34,0.1333296149969101,0.12741008400917053,0.004540665540844202,0.000275771482847631,1.0,1.0,5.0,0
35,0.13381648063659668,0.1275375634431839,0.004884983878582716,0.0002787866396829486,1.0,1.0,5.0,0
36,0.13387849926948547,0.12747067213058472,0.005013801157474518,0.0002788071578834206,1.0,1.0,5.0,0
37,0.13371910154819489,0.12727512419223785,0.0049902466125786304,0.00029074549092911184,1.0,1.0,5.0,0
38,0.13362835347652435,0.12703333795070648,0.0048704324290156364,0.00034491679980419576,1.0,1.0,5.0,0
39,0.13369135558605194,0.12681853771209717,0.0046628136187791824,0.0004419999022502452,1.0,1.0,5.0,0
40,0.13374821841716766,0.12668155133724213,0.004346901550889015,0.0005439528031274676,1.0,1.0,5.0,0
41,0.13358476758003235,0.1266491711139679,0.00392746040597558,0.0006016272236593068,1.0,1.0,5.0,0
42,0.13314753770828247,0.1267262101173401,0.003471348900347948,0.000589997973293066,1.0,1.0,5.0,0
43,0.13259658217430115,0.12689535319805145,0.0030918684788048267,0.0005218705045990646,1.0,1.0,5.0,0
44,0.13217505812644958,0.12711553275585175,0.0028904303908348083,0.00043381963041611016,1.0,1.0,5.0,0
45,0.13202619552612305,0.1273249089717865,0.0028980800416320562,0.0003606406971812248,1.0,1.0,5.0,0
46,0.13210807740688324,0.1274534910917282,0.0030574528500437737,0.0003194269083905965,1.0,1.0,5.0,0
47,0.13225847482681274,0.12744399905204773,0.003255749586969614,0.00031174419564194977,1.0,1.0,5.0,0
48,0.1323358416557312,0.12727238237857819,0.003385207150131464,0.0003356507804710418,1.0,1.0,5.0,0
