epoch,total,ic,bc,pde,lambda_ic,lambda_bc,lambda_pde,stage
0,0.6643827557563782,0.5890868306159973,0.05415968596935272,0.004227242898195982,1.0,1.0,5.0,0
1,0.5708820223808289,0.5297389030456543,0.03296256065368652,0.0016361065208911896,1.0,1.0,5.0,0
2,0.5037165284156799,0.47383466362953186,0.02759883552789688,0.00045660597970709205,1.0,1.0,5.0,0
3,0.46264728903770447,0.42327213287353516,0.03890933841466904,9.316265641245991e-05,1.0,1.0,5.0,0
4,0.44616466760635376,0.3800022304058075,0.06513466686010361,0.00020555438823066652,1.0,1.0,5.0,0
5,0.4494221806526184,0.34592971205711365,0.10029970854520798,0.0006385478191077709,1.0,1.0,5.0,0
6,0.4631689488887787,0.32193589210510254,0.13511213660240173,0.0012241846416145563,1.0,1.0,5.0,0
7,0.47721925377845764,0.30750638246536255,0.16063085198402405,0.001816404634155333,1.0,1.0,5.0,0
8,0.4848299026489258,0.3009457290172577,0.17274247109889984,0.002228344790637493,1.0,1.0,5.0,0
9,0.4838237762451172,0.30038148164749146,0.17222684621810913,0.002243092516437173,1.0,1.0,5.0,0
10,0.4757988750934601,0.30448803305625916,0.16181010007858276,0.0019001459004357457,1.0,1.0,5.0,0
11,0.46451207995414734,0.31238171458244324,0.14469900727272034,0.0014862703392282128,1.0,1.0,5.0,0
12,0.45335087180137634,0.3232777714729309,0.12422998249530792,0.0011686282232403755,1.0,1.0,5.0,0
13,0.44384515285491943,0.33628135919570923,0.1034671738743782,0.0008193257381208241,1.0,1.0,5.0,0
14,0.4379219114780426,0.3504367768764496,0.08456593006849289,0.000583840417675674,1.0,1.0,5.0,0
15,0.43563148379325867,0.36457517743110657,0.06896314024925232,0.00041863156366162,1.0,1.0,5.0,0
16,0.4364023208618164,0.3775191605091095,0.05716231092810631,0.000344171654433012,1.0,1.0,5.0,0
17,0.4389059543609619,0.38813385367393494,0.04906456172466278,0.0003415127284824848,1.0,1.0,5.0,0
18,0.4414663016796112,0.3955758213996887,0.044136736541986465,0.00035074734478257596,1.0,1.0,5.0,0
19,0.44322216510772705,0.3995888829231262,0.041563645005226135,0.0004139280063100159,1.0,1.0,5.0,0
20,0.4432676136493683,0.4002610146999359,0.040722426027059555,0.0004568324948195368,1.0,1.0,5.0,0
21,0.44156309962272644,0.3980032503604889,0.04117162898182869,0.00047764056944288313,1.0,1.0,5.0,0
22,0.4384848475456238,0.3931620121002197,0.042874082922935486,0.0004897455801256001,1.0,1.0,5.0,0
23,0.43476375937461853,0.3861612379550934,0.04594981670379639,0.0005305390222929418,1.0,1.0,5.0,0
24,0.4310479164123535,0.3776036202907562,0.05045382305979729,0.0005980966379866004,1.0,1.0,5.0,0
25,0.42825865745544434,0.3682496249675751,0.056224413216114044,0.0007569280569441617,1.0,1.0,5.0,0
26,0.4256954491138458,0.3586043417453766,0.06320950388908386,0.0007763234316371381,1.0,1.0,5.0,0
27,0.424355685710907,0.3496020436286926,0.07054571807384491,0.0008415802149102092,1.0,1.0,5.0,0
28,0.4244796633720398,0.3419008255004883,0.07731945812702179,0.0010518775088712573,1.0,1.0,5.0,0
29,0.4245826005935669,0.3357411026954651,0.08296597003936768,0.001175103709101677,1.0,1.0,5.0,0
30,0.4247027635574341,0.3312987983226776,0.0869230329990387,0.0012961889151483774,1.0,1.0,5.0,0
31,0.42496347427368164,0.32863950729370117,0.08881232887506485,0.0015023289015516639,1.0,1.0,5.0,0
32,0.42404618859291077,0.3274707794189453,0.0889398604631424,0.001527113257907331,1.0,1.0,5.0,0
33,0.4226434826850891,0.3278657793998718,0.0871058776974678,0.0015343643026426435,1.0,1.0,5.0,0
34,0.42059218883514404,0.32976704835891724,0.08342178910970688,0.0014806716935709119,1.0,1.0,5.0,0
35,0.41834279894828796,0.33292752504348755,0.07836052775382996,0.0014109506737440825,1.0,1.0,5.0,0
36,0.4170525074005127,0.3369027078151703,0.07266175746917725,0.0014976062811911106,1.0,1.0,5.0,0
37,0.41547662019729614,0.34111568331718445,0.06712424755096436,0.0014473365154117346,1.0,1.0,5.0,0
38,0.4151321053504944,0.3449903428554535,0.06233775615692139,0.0015608028043061495,1.0,1.0,5.0,0
39,0.4142000377178192,0.34796586632728577,0.05873594433069229,0.0014996464597061276,1.0,1.0,5.0,0
40,0.413833349943161,0.3500170409679413,0.056083276867866516,0.0015466015320271254,1.0,1.0,5.0,0
41,0.41360539197921753,0.35103604197502136,0.05431364104151726,0.0016511455178260803,1.0,1.0,5.0,0
42,0.413001149892807,0.3509933650493622,0.05335003882646561,0.001731551019474864,1.0,1.0,5.0,0
43,0.4118565320968628,0.3498554825782776,0.05319447070360184,0.0017613173695281148,1.0,1.0,5.0,0
44,0.40965890884399414,0.34756314754486084,0.05394047126173973,0.0016310577047988772,1.0,1.0,5.0,0
45,0.4090079367160797,0.344203382730484,0.05559031665325165,0.0018428503535687923,1.0,1.0,5.0,0
