epoch,total,ic,bc,pde,lambda_ic,lambda_bc,lambda_pde,stage
0,0.507297694683075,0.4181993305683136,0.08855198323726654,0.00010927432595053688,1.0,1.0,5.0,0
1,0.3324051797389984,0.2994981110095978,0.03164329752326012,0.000252751458901912,1.0,1.0,5.0,0
2,0.3667263388633728,0.24470116198062897,0.11921364068984985,0.0005623115575872362,1.0,1.0,5.0,0
3,0.40303510427474976,0.23772849142551422,0.16313916444778442,0.0004334926779847592,1.0,1.0,5.0,0
4,0.3778820037841797,0.2447511851787567,0.13190893828868866,0.00024437750107608736,1.0,1.0,5.0,0
5,0.3409719169139862,0.2590469717979431,0.08106917142868042,0.0001711562799755484,1.0,1.0,5.0,0
6,0.32491880655288696,0.2796434760093689,0.04457518830895424,0.00014002734678797424,1.0,1.0,5.0,0
7,0.3316120505332947,0.3021148145198822,0.028975311666727066,0.00010438412573421374,1.0,1.0,5.0,0
8,0.3452788293361664,0.31923556327819824,0.025680039077997208,7.264532905537635e-05,1.0,1.0,5.0,0
9,0.3515383005142212,0.32620447874069214,0.025120364502072334,4.2688312532845885e-05,1.0,1.0,5.0,0
10,0.34749898314476013,0.3232254683971405,0.024192199110984802,1.6263929865090176e-05,1.0,1.0,5.0,0
11,0.33785125613212585,0.3131988048553467,0.024635769426822662,3.335404926474439e-06,1.0,1.0,5.0,0
12,0.32848939299583435,0.29958394169807434,0.028853781521320343,1.0333723366784398e-05,1.0,1.0,5.0,0
13,0.32335782051086426,0.28558409214019775,0.037596702575683594,3.540597026585601e-05,1.0,1.0,5.0,0
14,0.32325634360313416,0.273701548576355,0.04923667013645172,6.363087595673278e-05,1.0,1.0,5.0,0
15,0.3262125849723816,0.26548296213150024,0.060327693819999695,8.038165105972439e-05,1.0,1.0,5.0,0
16,0.3292347490787506,0.2614741921424866,0.06736373901367188,7.936071051517501e-05,1.0,1.0,5.0,0
17,0.33029964566230774,0.26129859685897827,0.06859787553548813,8.063214045250788e-05,1.0,1.0,5.0,0
18,0.3288765251636505,0.2639206647872925,0.06458886712789536,7.339890726143494e-05,1.0,1.0,5.0,0
19,0.32584261894226074,0.268086701631546,0.05742876976728439,6.542748451465741e-05,1.0,1.0,5.0,0
20,0.32250502705574036,0.27280503511428833,0.049456994980573654,4.8599544243188575e-05,1.0,1.0,5.0,0
21,0.320122092962265,0.2775246202945709,0.042371101677417755,4.5275461161509156e-05,1.0,1.0,5.0,0
22,0.3192630410194397,0.28200027346611023,0.03692391514778137,6.776992086088285e-05,1.0,1.0,5.0,0
23,0.3197164833545685,0.2859073579311371,0.033182982355356216,0.00012523142504505813,1.0,1.0,5.0,0
24,0.32050439715385437,0.28874826431274414,0.03091522678732872,0.00016817769210319966,1.0,1.0,5.0,0
25,0.32070645689964294,0.2899799644947052,0.02993522770702839,0.0001582514523761347,1.0,1.0,5.0,0
26,0.31992653012275696,0.2892567217350006,0.030160415917634964,0.00010187742009293288,1.0,1.0,5.0,0
27,0.3183348774909973,0.28656697273254395,0.0315432995557785,4.491524668992497e-05,1.0,1.0,5.0,0
28,0.31649139523506165,0.2823045253753662,0.034052032977342606,2.6963205527863465e-05,1.0,1.0,5.0,0
29,0.315059095621109,0.2772357761859894,0.037556082010269165,5.344805322238244e-05,1.0,1.0,5.0,0
30,0.31428807973861694,0.2722703516483307,0.04154607281088829,9.433328523300588e-05,1.0,1.0,5.0,0
31,0.31387263536453247,0.26819661259651184,0.04502929002046585,0.00012934519327245653,1.0,1.0,5.0,0
32,0.31322577595710754,0.2654992640018463,0.04701819270849228,0.000141664277180098,1.0,1.0,5.0,0
33,0.3120514750480652,0.2643245458602905,0.047128550708293915,0.00011967188765993342,1.0,1.0,5.0,0
34,0.31075626611709595,0.2644706070423126,0.04569941759109497,0.00011724860087269917,1.0,1.0,5.0,0
35,0.30990391969680786,0.26548126339912415,0.04342713952064514,0.0001991037279367447,1.0,1.0,5.0,0
36,0.30952391028404236,0.2667701840400696,0.041025321930646896,0.00034568406408652663,1.0,1.0,5.0,0
37,0.30884087085723877,0.2678395211696625,0.039007768034935,0.00039871918852441013,1.0,1.0,5.0,0
38,0.3075321316719055,0.2682287096977234,0.03770257532596588,0.0003201715589966625,1.0,1.0,5.0,0
39,0.30609560012817383,0.2677469551563263,0.037246666848659515,0.00022039495524950325,1.0,1.0,5.0,0
40,0.3051227033138275,0.2665819525718689,0.037588879466056824,0.00019036888261325657,1.0,1.0,5.0,0
41,0.30462637543678284,0.26525700092315674,0.03829670697450638,0.00021453747467603534,1.0,1.0,5.0,0
42,0.30393722653388977,0.2642231285572052,0.03864843398332596,0.00021313282195478678,1.0,1.0,5.0,0
43,0.3028769791126251,0.2635698616504669,0.03836045041680336,0.00018933477986138314,1.0,1.0,5.0,0
44,0.30209583044052124,0.2631341814994812,0.03800693154335022,0.00019094059825874865,1.0,1.0,5.0,0
45,0.30182313919067383,0.2625254690647125,0.03810896351933479,0.00023773720022290945,1.0,1.0,5.0,0
46,0.3011871874332428,0.26127904653549194,0.0385599210858345,0.0002696434676181525,1.0,1.0,5.0,0
47,0.30021053552627563,0.25948193669319153,0.03924643248319626,0.0002964345330838114,1.0,1.0,5.0,0
48,0.29952460527420044,0.2578671872615814,0.04005115479230881,0.0003212540177628398,1.0,1.0,5.0,0
49,0.29926443099975586,0.2570090889930725,0.040420323610305786,0.00036700456985272467,1.0,1.0,5.0,0
50,0.298740029335022,0.2570311725139618,0.039915136992931366,0.0003587427199818194,1.0,1.0,5.0,0
51,0.298353910446167,0.25760725140571594,0.03870871290564537,0.00040759146213531494,1.0,1.0,5.0,0
52,0.29779163002967834,0.2580288052558899,0.037888191640377045,0.00037492590490728617,1.0,1.0,5.0,0
53,0.29722052812576294,0.2570744454860687,0.03807862102985382,0.000413489353377372,1.0,1.0,5.0,0
54,0.296227365732193,0.25508934259414673,0.039069242775440216,0.00041375489672645926,1.0,1.0,5.0,0
55,0.29547178745269775,0.25310641527175903,0.04020222648978233,0.0004326289636082947,1.0,1.0,5.0,0
56,0.29462429881095886,0.2519270181655884,0.04057241231203079,0.0004249734920449555,1.0,1.0,5.0,0
57,0.2937137484550476,0.25177815556526184,0.0398436076939106,0.00041839652112685144,1.0,1.0,5.0,0
58,0.2926616072654724,0.25213396549224854,0.03864387422800064,0.00037675362545996904,1.0,1.0,5.0,0
59,0.29177677631378174,0.2520085871219635,0.03791944682598114,0.00036975182592868805,1.0,1.0,5.0,0
60,0.29064956307411194,0.25074949860572815,0.038028374314308167,0.0003743364359252155,1.0,1.0,5.0,0
61,0.28954017162323,0.24869704246520996,0.03885923698544502,0.00039677394670434296,1.0,1.0,5.0,0
62,0.28858980536460876,0.24682706594467163,0.039583608508110046,0.00043582095531746745,1.0,1.0,5.0,0
63,0.2874889075756073,0.24572472274303436,0.0394415445625782,0.00046452865353785455,1.0,1.0,5.0,0
64,0.28638535737991333,0.24517275393009186,0.038864344358444214,0.0004696497053373605,1.0,1.0,5.0,0
65,0.28516507148742676,0.2440050095319748,0.038721904158592224,0.0004876327293459326,1.0,1.0,5.0,0
66,0.28363779187202454,0.24214091897010803,0.039055272936820984,0.0004883228102698922,1.0,1.0,5.0,0
67,0.28189632296562195,0.24008743464946747,0.03951430320739746,0.0004589167656376958,1.0,1.0,5.0,0
